 Id, Vd
-1.36E-09,-0.284
-1.36E-09,-0.282
-1.36E-09,-0.28
-1.36E-09,-0.278
-1.35E-09,-0.276
-1.35E-09,-0.274
-1.35E-09,-0.272
-1.35E-09,-0.27
-1.35E-09,-0.268
-1.35E-09,-0.266
-1.35E-09,-0.264
-1.34E-09,-0.262
-1.34E-09,-0.26
-1.34E-09,-0.258
-1.34E-09,-0.256
-1.34E-09,-0.254
-1.33E-09,-0.252
-1.33E-09,-0.25
-1.34E-09,-0.248
-1.33E-09,-0.246
-1.33E-09,-0.244
-1.33E-09,-0.242
-1.33E-09,-0.24
-1.33E-09,-0.238
-1.32E-09,-0.236
-1.32E-09,-0.234
-1.32E-09,-0.232
-1.32E-09,-0.23
-1.32E-09,-0.228
-1.32E-09,-0.226
-1.31E-09,-0.224
-1.31E-09,-0.222
-1.31E-09,-0.22
-1.31E-09,-0.218
-1.31E-09,-0.216
-1.30E-09,-0.214
-1.30E-09,-0.212
-1.30E-09,-0.21
-1.30E-09,-0.208
-1.30E-09,-0.206
-1.30E-09,-0.204
-1.29E-09,-0.202
-1.29E-09,-0.2
-1.29E-09,-0.198
-1.29E-09,-0.196
-1.29E-09,-0.194
-1.29E-09,-0.192
-1.29E-09,-0.19
-1.28E-09,-0.188
-1.28E-09,-0.186
-1.28E-09,-0.184
-1.28E-09,-0.182
-1.27E-09,-0.18
-1.27E-09,-0.178
-1.27E-09,-0.176
-1.27E-09,-0.174
-1.27E-09,-0.172
-1.26E-09,-0.17
-1.26E-09,-0.168
-1.26E-09,-0.166
-1.26E-09,-0.164
-1.25E-09,-0.162
-1.25E-09,-0.16
-1.25E-09,-0.158
-1.25E-09,-0.156
-1.25E-09,-0.154
-1.24E-09,-0.152
-1.24E-09,-0.15
-1.24E-09,-0.148
-1.24E-09,-0.146
-1.23E-09,-0.144
-1.23E-09,-0.142
-1.23E-09,-0.14
-1.23E-09,-0.138
-1.22E-09,-0.136
-1.22E-09,-0.134
-1.22E-09,-0.132
