date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:56	2327/2327	---M--	200	added ('OK')	text/html	etag:%22daa5f590262cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video1.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video1.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:36:23	703098/703098	---M--	200	added ('OK')	application/pdf	etag:%220733451fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture1.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture1.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:36:39	723852/723852	---M--	200	added ('OK')	application/pdf	etag:%220733451fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture1handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture1handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:37:36	436498/436498	---M--	200	added ('OK')	application/pdf	etag:%220a06552fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture2.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture2.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:37:40	2327/2327	---M--	200	added ('OK')	text/html	etag:%22ad1a52e7262cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video2.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video2.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:37:54	453653/453653	---M--	200	added ('OK')	application/pdf	etag:%220a06552fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture2handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture2handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:38:07	808191/808191	---M--	200	added ('OK')	application/x-zip-compressed	etag:%22b01c9d67a43cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture1.zip	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture1.zip	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:39:23	547017/547017	---M--	200	added ('OK')	application/pdf	etag:%220a06552fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture3.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture3.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:39:23	2327/2327	---M--	200	added ('OK')	text/html	etag:%22f9eb6ff3262cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video3.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video3.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:39:35	548228/548228	---M--	200	added ('OK')	application/pdf	etag:%220a06552fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture3handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture3handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
